intent,response
What is the Best Research Paper award?,"The Best Research Paper award is given to a student or group of students who have excelled in research writing and have been declared as the ""Best Research Paper"" during the Intercollegiate Student Research Congress conducted by the institution's Research and Development Unit. This award recognizes the dedication and determination of students in their respective academic programs towards educational sustainability and excellence in research writing."
What are the conditions for being nominated for the Best Research Paper award?,"The preliminary selection of nominees for this award is based on the following conditions:
-The thesis must be fully furnished and have completed all the requirements for its clearance.
-The thesis must have been successfully presented in the intercollegiate research congress."
Who is responsible for making the recommendation for the Best Research Paper award?,"The Research and Development Chairperson is responsible for submitting the results of the Intercollegiate Student Research Congress, which serve as the basis for determining the recipient of the Best Research Paper award."
What are Special Awards?,Special Awards are recognition given by the university to acknowledge the achievements of students based on the organizational values of their respective college or organization. These awards provide an opportunity for colleges and organizations to honor outstanding students who have demonstrated excellence aligned with their specific values.
What are the conditions for a Special Award?,"The following conditions apply to Special Awards:
-The Special Award should have a different name from the Non-academic Major and Minor Awards.
-The Special Award should align with the organizational values of the college or organization.
-The Special Award must have a description and a recommendation form that is duly approved and signed by the authorities within the college or organization."
How does the submission process for Special Awards work?,"The Dean of the College or the Adviser of the Organization is responsible for completing the Special Award Form, which includes the following information:
-Name of the college/organization.
-Name of the award (not the same as the non-academic major and minor awards).
-Description of the award.
-Name of the recipient(s).
-Narrative overview of why the award is granted to the recipient.
-Sample certificate for college/organizational recognition.
-Signatories for the college or adviser of the organization. The Committee on Awards and Recognition will validate the Special Award submitted by the college or organization based on the provided conditions. Once approved, the Special Award will be included during the recognition day."
What do academic and non-academic awardees receive as recognition?,Academic and non-academic awardees receive a Medal of Excellence and a Certificate of Recognition. These items serve as tangible symbols of their achievements and are awarded to acknowledge their exceptional performance in their respective areas.
Who signs the Certificate of Recognition?,The Certificate of Recognition is signed by the Vice-President for Academic Affairs and the University President. These high-ranking officials of the university affirm and acknowledge the awardees' accomplishments through their signatures on the certificate.
What is the significance of receiving a Medal of Excellence and a Certificate of Recognition?,"The Medal of Excellence and Certificate of Recognition hold great significance as they represent the university's official recognition of the awardees' outstanding achievements. These awards serve as a testament to their hard work, dedication, and exceptional performance in their academic or non-academic pursuits. They also serve as a source of pride and motivation for the awardees, recognizing their contributions to their respective fields of study or areas of involvement."
Are the Medal of Excellence and Certificate of Recognition given to all awardees?,"Yes, both academic and non-academic awardees are presented with a Medal of Excellence and a Certificate of Recognition. These honors are bestowed upon all individuals who have been selected and recognized for their exceptional accomplishments, regardless of whether their achievements are academic or non-academic in nature."
Are there any additional benefits or privileges associated with receiving the Medal of Excellence and Certificate of Recognition?,"While the Medal of Excellence and Certificate of Recognition are primarily symbolic in nature, they hold great value as a formal acknowledgment of an individual's exceptional performance. They serve as a distinction that can be mentioned on resumes, scholarship applications, and other professional or academic endeavors. Additionally, the recognition received through these awards may also bring attention to the awardees and open up opportunities for further academic or career advancement."
What is the rationale behind the implementation of the Mandatory Drug Testing Program (MDTP) for LSPU students?,"The rationale for implementing the MDTP for LSPU students is based on several factors. Firstly, the Philippine Government recognizes the primary responsibilities of families, particularly parents, in educating and raising awareness about the dangers of illegal drugs. Educational institutions, including LSPU, are encouraged to adopt strong drug prevention policies and create a drug-free school environment. Additionally, CHED Memo. Order No. 64, series of 2017 emphasizes the importance of mandatory drug testing in higher education institutions. LSPU supports the government's efforts to prevent and reduce illegal drug use and its adverse effects on individuals and society."
"What is CHED Memo. Order No. 64, series of 2017?","CHED Memo. Order No. 64, series of 2017 is a memorandum order issued by the Commission on Higher Education (CHED) in the Philippines. It provides policies, guidelines, and procedures for higher education institutions (HEIs) regarding the implementation of mandatory drug testing for students. It encourages HEIs to include mandatory drug testing as part of their admission and retention policies to promote a drug-free campus environment."
When was the Mandatory Drug Testing of LSPU Students approved?,"The Mandatory Drug Testing of LSPU Students was approved through LSPU Board Resolution No. 1362, S. of 2017, dated December 7, 2017. This resolution, along with the approval of the Supreme Student Council, established the implementation of the MDTP for LSPU students starting from the academic year 2018-2019."
Is the Mandatory Drug Testing applicable to all LSPU students?,"Yes, the Mandatory Drug Testing program applies to all LSPU students. It is a requirement that students must comply with as part of the university's admission and retention policies. The goal is to ensure a healthy and drug-free environment within the institution."
What is the purpose of the Mandatory Drug Testing Program for LSPU students?,"The primary purpose of the Mandatory Drug Testing Program for LSPU students is to prevent drug use and abuse within the university community. By conducting mandatory drug tests, the program aims to create a safe and drug-free environment that promotes the overall well-being and academic success of the students. It also supports the government's efforts in fighting against illegal drug use and its detrimental effects on individuals and society."
What is the purpose of the LSPU Mandatory Drug Testing Program (MDTP)?,"The LSPU Mandatory Drug Testing Program (MDTP) serves several purposes:
To identify drug use among the students and provide them with appropriate interventions: The MDTP helps identify students who may be using drugs and enables the university to provide necessary support, counseling, and interventions to help them overcome drug use and addiction.
To prevent or discourage experimentation and use of illegal substances: By implementing mandatory drug testing, the program aims to create a deterrent effect and discourage students from experimenting with or using illegal substances. It sends a clear message that drug use is not tolerated within the university community.
To assess the effectiveness and strengthen drug prevention initiatives: The MDTP allows the university to evaluate the effectiveness of its existing drug prevention initiatives and activities. It provides valuable data on the prevalence of drug use among students, which can inform the development and enhancement of prevention strategies to create a safer and drug-free environment on campus."
What are the definitions of terms used in the LSPU Mandatory Drug Testing Program (MDTP) guidelines?,"The following are the definitions of terms used in the MDTP guidelines, based on the CMO No. 64 Series of 2017:
Accreditation: It refers to the formal authorization issued by the Department of Health (DOH) to an individual, partnership, corporation, or association that has complied with all licensing and accreditation requirements as prescribed in the Manual of Operation for Drug Testing Laboratories issued by the DOH. Accreditation ensures that the laboratory meets the necessary standards for conducting drug tests.
Confirmatory drug test: It is an analytical test using a device, tool, or equipment with a different chemical or physical principle that is more specific. It is conducted to validate and confirm the results of the screening test. The confirmatory drug test is performed by a government laboratory or privately owned and operated drug testing laboratories accredited and monitored by the DOH, which have the capabilities to conduct such tests.
Current Students: It refers to students who are currently enrolled or existing in an authorized higher education institution. These are students who are actively pursuing their education at the time of the drug testing program.
Dangerous Drugs: It includes drugs identified and listed in R.A. 9165, also known as the ""Comprehensive Dangerous Drugs Act of 2002,"" and its annexes. The list of dangerous drugs may be subject to reclassification, addition, or removal by the Dangerous Drug Board, as authorized by Section 93 of R.A. No. 9165.
Drug Abuser: It refers to a person who uses or administers dangerous drugs to themselves or allows others to administer drugs to them without medical approval. There are three categories of drug abusers:
a. The Experimenter: One who uses or allows others to administer drugs out of curiosity, typically doing so once or a few times.
b. The Casual User: One who uses or allows others to administer drugs occasionally, as a means of refreshing the mind and body, or for recreational purposes.
c. The Drug Dependent: One who regularly consumes or allows others to administer drugs to themselves and has developed a marked psychological and/or physical dependence on the drugs. This dependence goes beyond voluntary control, indicating addiction."
What are the definitions of additional terms used in the LSPU Mandatory Drug Testing Program (MDTP) guidelines?,"Here are the definitions of the additional terms used in the MDTP guidelines:
3.5. Drug Dependency: It refers to a state of psychological and/or physical dependence on drugs that develops in a person as a result of periodic and continuous drug administration or use.
3.6. ""Drug-free"" Campus: It refers to the declaration by the government that a higher education institution (HEI) is free of drugs. This declaration is based on parameters such as the non-availability of drug supply, absence of drug users/dependents, absence of drug pushers, and the existence of drug awareness, preventive education and information, and other related programs within the campus.
3.7. Drug Testing: It is the process undertaken to determine the presence of dangerous drugs in a person's system. It involves both a screening test and a confirmatory test.
3.8. Drug Testing Coordinator: It refers to the designated person, appointed by the head of the HEI, who is responsible for managing the drug testing program.
3.9. Interventions: These are therapeutic programs designed for individuals/students at high risk of drug use. The interventions aim to provide special assistance in recognizing the signs and symptoms of initial drug use and dependency. They may include crisis intervention, peer counseling, peer leadership programs, parent/peer groups, psychological counseling at individual or family levels, structured rehabilitation programs, and necessary medical interventions. The Department of Health (DOH) recognizes four major modalities of intervention: inpatient, outpatient, recovery homes/half-way houses, and community-based interventions.
3.10. Laboratory: It refers to a facility, either private or government-owned, that is capable of testing a specimen to determine the presence of dangerous drugs.
3.11. Mandatory Drug Testing: It refers to the compulsory requirement for a student to undergo drug testing as mandated by R.A. 9165 (Comprehensive Dangerous Drugs Act of 2002).
3.12. Prevention: It refers to the promotion of a drug-free lifestyle through strategies such as advocacy, information dissemination, and capability building through training.
3.13. Screening Drug Test: It is a rapid test conducted to establish a potential or presumptive positive result. This immunoassay test is used to eliminate specimens without the presence of dangerous drugs (negative) from further consideration and to identify specimens that require confirmatory testing (presumptively positive).
3.14. Student-Applicants: These are students who are applying for admission to a higher education institution (HEI), either as freshmen or as transfer students from another authorized HEI."
Who is responsible for the expenses related to the mandatory drug testing for students?,"According to the guidelines, the expenses for the mandatory drug testing will be shouldered by the students themselves. The payment of the testing fee is the responsibility of the students, and they are required to pay it directly to the drug testing service provider accredited by the Department of Health (DOH)."
What is the procedure for the LSPU Mandatory Drug Testing Program (MDTP)?,"The procedure for the LSPU MDTP is as follows:
5.1. Notification
-All incoming freshmen and old students will be required to provide a ""drug testing consent form"" before the testing.
-A general announcement will be made, and the schedule for drug testing will be posted by colleges and shared through social networking sites, such as the Supreme Student Council.
5.2. LSPU Drug-Free Committee
-The LSPU Drug-Free Committee (DFC) is responsible for the implementation of the MDTP.
-The committee is composed of various individuals with specific duties and responsibilities:
-Campus Director acts as the Drug Testing Coordinator (DTC) and Chairperson of the Selection Board. They oversee the coordination of the drug testing program, preside over meetings, and handle conferences with parents or guardians and students who test positive for drug use.
-Director/Chairperson/s of Student Affairs and Services assist the DTC and handle the logistical requirements of the MDTP. They monitor the conduct of the drug testing program.
-Guidance Counselors handle counseling-related concerns of students participating in the MDTP.
-Medical Services (University Physician & Nurse/s) handle health services-related concerns of the MDTP.
-Supreme Student Council (President/Representative) assists the DFC Selection Board in information dissemination to all students.
-Parents/Guardians of LSPU Students assist the DFC Selection Board in information dissemination to all parents.
-The DFC Selection Board ensures the integrity and confidentiality of the MDTP.
-The Selection Board meets at the beginning of the academic year to prepare and plan the MDTP, including determining the schedules of drug testing.
-The DTC convenes the Selection Board and conducts an orientation to clarify their specific roles and responsibilities for the MDTP."
Non-degree Students?,"A degree holder or undergraduate student who is not currently enrolled in any other higher learning institution may be allowed to take the credit courses on the graduate and/or undergraduate level, respectively, provided that this student satisfies the appropriate requirements for admission to the college. He/she should not be allowed to enroll for more than one semester, except by special permission of the dean of the college concerned and the university registrar."
Special Student?,"Even if he does not fully satisfy the university entrance requirements, a mature student may be admitted as a special student and may enroll for any subject that is, in the dean's opinion, has the necessary information or ability to pursue profitably."
Good Moral?,"After admission to any university program, the student must maintain good moral character at all times regardless of the year level."
Compliance?,"A student must adhere to the rules of conduct, regulations, and policies imposed by the University in this Handbook."
Retention Requirement?,"A student shall always act in a manner that will uphold the honor, dignity, and prestige of the university and must meet the following requirements to stay in the program and must obtain the corresponding degree"
GPA is less than 2.25 (in any board Program),The student shall be given a probationary status and shall be given intervention programs to improve his/her academic performance.
Final Grade in any board/major related subjects is less than the required grade of 2.25 but not 5.0 (F)?,"The student shall be given a chance to retake the said subject and meet the required final grade. However, the student shall only be allowed to retake the subject once. The student shall be allowed only a maximum of two major subjects to be retaken from the third year to the study's fourth year"
Final Grade in any course-related/ professional subjects is less than the required grade of 2.25 but not 5.0 (F)?,"The student shall be given a chance to retake the said subject and obtain the required final grade. However, the student is only allowed to retake the subject once. The student is allowed only a maximum of two subjects (either course-related subject and/or English subjects) to be retaken during the entire study period"
Final Grade in any General Education/ Electives Subjects enrolled is 5.00 (F)?,The student shall be disqualified from continuing in the chosen Curriculum and shall be advised to shift to another course.
What is scholastic delinquency?,Scholastic delinquency refers to a student's failure to meet the academic performance standards set by the University or College. It includes failing a certain percentage of the total academic units in which the student is registered.
Who establishes the rules and guidelines for scholastic delinquency?,"The University Academic Council is responsible for establishing the rules and guidelines for scholastic delinquency. However, these rules require approval from the Board of Regents, which is the governing body of the university or college."
What are the minimum standards for scholastic delinquency?,"The minimum standards for scholastic delinquency typically include three stages: warning, probation, and dismissal. These stages are based on the percentage of academic units failed by the student."
What happens if a student fails 25% to 49% of the total academic units?,"If a student fails 25% to 49% of the total academic units they registered for, the Dean of the college will issue a warning to the student. The student will be advised to improve their academic performance."
What happens if a student fails 50% to 74% of the total academic units?,"If a student fails 50% to 74% of the total academic units they registered for, the student will be placed on probation for the succeeding semester. The Dean will reduce the student's course load accordingly. The student's probation status may be lifted if they pass all the subjects carried during the probation period."
When does a student face dismissal due to scholastic delinquency?,"A student will face dismissal from the college if they fail in more than seventy-five percent (75%) of the total academic units they enrolled in. It's important to note that incomplete grades are not included in the computation of earned units. However, this dismissal policy does not apply to students who receive final grades in only nine academic units."
"What does it mean to be ""dropped"" from a college/school?","Being ""dropped"" from a college/school means that a student is no longer permitted to continue their studies in that particular college or school. They are effectively dismissed from their current course or program."
Can a student who has been dropped from one college/school be admitted to another course in the same university?,"Generally, a student who has been dropped from one college/school in a university, such as LSPU, is not permitted to be admitted to another course. However, there is an exception to this rule. If the Dean evaluates the student's aptitude and interest and determines that they are qualified for another field of study, the student may be admitted on probation to that specific course."
What is the purpose of admitting a student on probation after being dropped from one college/school?,Admitting a student on probation after being dropped from one college/school allows them an opportunity to pursue a different field of study within the university. It acknowledges that the student may have the potential and interest to succeed in a different area and provides them with a chance to prove themselves academically.
What is the disqualification exemption mentioned in Section 7?,"The disqualification exemption stated in Section 7 means that a student who receives a grade of 5.0 (or any failing grade) due to unauthorized dropping (meaning the student was dropped without their consent) will not be permanently disqualified from the university. This exemption applies when the faculty responsible for the course recommends and certifies that the grade of 5.0 was a result of the unauthorized dropping, rather than poor academic performance."
Can a student with a grade of 5.0 due to unauthorized dropping face permanent disqualification?,"No, a student with a grade of 5.0 due to unauthorized dropping, as certified by the recommending faculty, is exempt from permanent disqualification. The disqualification exemption allows for a fair evaluation of the student's academic performance, taking into account the circumstances surrounding the unauthorized dropping."
How can students monitor and assess their enrollment status?,"Students can monitor and assess their enrollment status through various means outlined in Section 8.1 of the regulations. These include:
- Obtaining a copy of grades (COG) issued by the Office of the Registrar at the end of the semester, which indicates course grades and enrollment status (e.g., warning, probation, dismissal).
- Accessing their academic records or standing through the LSPU Portal (myaccount.lspu.edu.ph), where information from the COG is also available, subject to data privacy policies.
- Visiting the Office of the Registrar in person to consult and review their enrollment status, particularly if other options are not available."
What should students do if they have concerns about their enrollment status?,"If students have concerns about their enrollment status, they should immediately seek consultation with the Dean of the College for clarification. For further assistance, they can be referred to the Office of the Registrar. It is important not to delay reporting any concerns, such as grade changes or completing requirements, as this may affect the student's status."
What is the role of the Dean of the College in evaluating student records?,"The Dean of the College uses the copy of grades (COG) to evaluate student records during enrollment for the purpose of updating records. This evaluation helps determine the student's standing and facilitates the appropriate actions, such as issuing warnings or placing students on probation."
How does the Office of the Registrar support candidates for graduation?,The Office of the Registrar issues a List of Candidates for Graduation at the start of the first semester of the academic year for students anticipating graduation. This list is used to evaluate if there are any deficiencies in grades or other university requirements that need to be addressed before graduation.
How is the academic load determined for students?,"The academic load for students is determined by their curricular program. It consists of a combination of units of credit, with each unit requiring at least 18 full hours of lecture, discussion, seminar, recitation, or a combination thereof."
What is considered a normal load for students?,A normal load is defined as the number of laboratory and non-laboratory units required in a given term/semester as prescribed in the curriculum based on the student's academic year or classification. The specific number of units constituting a normal load may vary depending on the program.
Can a student take more than the normal load in a term/semester?,"Generally, no student is allowed to take more than the normal load during a term/semester. However, a graduating student with an academic record better than the average may apply for consideration of an overload, not exceeding six units or two subjects. The request for an overload should be made to the Vice-President for Academic Affairs."
"What are prerequisites, and how do they affect course enrollment?",Prerequisites are courses that must be successfully completed before a student can enroll in another course for which it is a prerequisite. The rules regarding prerequisites are outlined in Section 2 of the regulations.
How are prerequisites determined and listed in the curriculum?,Prerequisites to courses are specified in the curriculum. They generally consist of all subjects of the same department that are assigned in the regular curriculum for the previous year. These prerequisites are designed to ensure that students have the necessary foundation and knowledge before progressing to more advanced courses.
Can a student be exempted from taking a prerequisite course under certain circumstances?,"In meritorious cases, a student who has previously enrolled and attended a course that is a prerequisite to another may be allowed to enroll in the latter for credit without having passed or earned credit for the prerequisite course. However, this permission is subject to the approval of the College Dean through the recommendation of a duly authorized body, and the student must submit a written petition."
Can the Dean determine prerequisites for subjects not listed as essential requirements in the curriculum?,"Yes, for subjects that are not listed as essential requirements in the curriculum, such as electives or major subjects, the determination of prerequisites is at the discretion of the Dean of the college where the subject is offered."
Can a student change their registration and transfer to other classes after filing their program at the time of registration?,"Yes, a student is allowed to change their registration and transfer to other classes after filing their program at the time of registration, but only for valid reasons. The student must follow the appropriate procedures for making changes to their registration."
Is there a specific policy regarding the timing of registration changes involving new subjects?,"Yes, according to the policy outlined in Section 3.2, no change of registration involving the addition of a new subject is allowed after twelve percent (12%) of the regular class meetings for the term/semester have been held. It is important for students to be aware of this deadline and plan their registration changes accordingly."
What is the procedure for making changes in registration?,"The procedure for making changes in registration involves the following steps:
1. File a Change in Registration form, which is recommended by the Registration Adviser.
2. Obtain approval from the College Dean.
3. Submit the approved Change in Registration form to the Registrar for assessment and notation"
Under what circumstances can a student be dropped from a course?,"A student can be dropped from a course if they have accumulated an absence of at least 25% of the total number of class hours in a semester. However, with the faculty's consent and the approval of the Dean, a student may also voluntarily drop a subject by filing the prescribed form. If a student withdraws from a subject before the mid-term examination, they can drop the subject without prejudice."
What is the grading policy for dropped subjects?,"The grading policy for dropped subjects is as follows:
- If a subject is dropped after the first day of the mid-term examinations, the instructors will indicate in the form whether the student shall be given a grade of ""5.0"" based on their class standing in that subject.
- If a student drops a course without the approval of the College Dean, they will automatically receive a grade of ""5.0"" for that course, and their registration privileges may be curtailed or entirely withdrawn.
- If a student is dropped from the roll by their instructor/professor due to the Attendance Rule, they will be given a grade of ""5.0"" if their class standing is below ""3.0""."
Is there a fee associated with dropping a course?,"Yes, there is a dropping fee of P20 per unit that is required for each course that a student drops. This fee is outlined in the LSPU Board of Regents (BOR) resolution 1046, issued in 2012."
Can a student request a substitution for a course?,"Substitution of a course is generally not allowed unless there are valid reasons. If a student has a valid reason for requesting a substitution, they can follow the substitution guidelines outlined in Section 5.2 of the regulations."
What are the steps for requesting a course substitution?,"The steps for requesting a course substitution are as follows:
- Write an application letter indicating the reasons for the course/program substitution.
- Obtain a recommendation from the Program Coordinator/Dean.
- Submit the request for substitution to the Registrar for approval before 12% of the regular class meetings have been held during the term. Requests submitted after this deadline will not be considered for the semester."
Under what conditions can a student request a substitution of a subject?,"A student can request a substitution of a subject based on at least one of the following conditions:
1. When the student is pursuing a curriculum that has been superseded by a new one, and the substitution will align the old curriculum with the new one.
2. When the required subject in an old curriculum that is being phased out is no longer offered. This situation often applies to ""returning"" students."
Are there any specific requirements for subject substitutions?,"Yes, when requesting a subject substitution, it is required that the substitution be made between courses carrying the same number of units. Additionally, the petition for substitution must be recommended by the student's Adviser and Dean, with the approval of the Vice President for Academic Affairs."
Can a grade alteration be considered for a subject that is being substituted?,"Generally, no substitution is allowed for any subject in which the student has failed or received a grade of ""5.0"". However, there may be exceptions if it is deemed essential by the Adviser, Dean, and Vice President for Academic Affairs. In such cases, the student will be notified accordingly."
What are the guidelines for submitting a petition for subject substitution?,All approved petitions for subject substitution must be submitted to the Office of the Registrar during the regular semester or summer term. A triplicate copy of the approved petition should also be submitted to the Dean's office and Program Coordinator upon enrollment. It's important to note that any petition submitted after the designated deadline will be considered for the following term.
Under what circumstances can subjects be offered if they are not scheduled for a particular term?,"Subjects that are not scheduled for a given term may be offered under the following considerations:
1. If there is a written request from at least ten (10) students who are duly recommended by the Program Coordinator/Dean and approved by the Vice President for Academic Affairs.
2. If the number of students requesting the subject does not meet the requirement, it may still be offered if the students belong to a course or curriculum that has been superseded by a new one.
3. A graduating student may request an unscheduled/petition subject.
4. A subject may be scheduled by the College Dean for students who failed during the previous semester, provided that the request is made no later than one (1) month before the end of the preceding semester, and the required minimum number of at least ten (10) students is met."
What is the grading system used and how are the grades interpreted?,"The grading system used is expressed in Arabic numerals and recorded by the Office of the Registrar. The following are the grades used, along with their equivalents in percentage and their respective descriptions:
Average: 1.00, Equivalent Grade: 99-100, Description: Excellent Average: 1.25, Equivalent Grade: 96-98, Description: Excellent Average: 1.50, Equivalent Grade: 93-95, Description: Very Satisfactory
Average: 1.75, Equivalent Grade: 90-92, Description: Very Satisfactory
Average: 2.00, Equivalent Grade: 87-89, Description: Satisfactory
Average: 2.25, Equivalent Grade: 84-86, Description: Satisfactory
Average: 2.50, Equivalent Grade: 81-83, Description: Fairly Satisfactory
Average: 2.75, Equivalent Grade: 78-80, Description: Fairly Satisfactory Average: 3.00, Equivalent Grade: 75-77, Description: Conditional Failure Average: 4.00, Equivalent Grade: 70-74, Description: Conditional Failure Average: 5.00, Equivalent Grade: 69 and below, Description: Failed
INC – Incomplete
DRP- Officially Dropped"
When should faculty members submit students' grades?,Faculty members are required to submit students' grades as soon as possible after the final examination at the end of the term.
What is the deadline for submitting students' grades to the registrar's office?,Students' grades must be submitted to the registrar's office no later than ten (10) working days after the last day of the examination period.
Can there be exceptions for late submission of grades?,"In justifiable cases, deviations from the submission rules mentioned above may be authorized by the Vice President for Academic Affairs."
Can a student request a change or rectification of grades?,"A student who received a grade that they believe is not correct may request a change or rectification of grades within ten (10) days after the official release of grades by the Office of the Registrar. The student should address their concern in writing to the faculty member responsible for the course, who will then follow the necessary procedures."
What is GWA and Cumulative GWA?,"GWA stands for General Weighted Average. It refers to the weighted average of grades in all academic courses taken in a given semester. Cumulative GWA, on the other hand, is the weighted average of grades in all academic courses from the first semester in which the student was enrolled up to the second semester just finished."
"How is the grade ""4"" treated in the computation of the General Weighted Average (GWA)?","A student with a grade of ""4"" is treated as an actual grade in the computation of the GWA. It is considered a conditional grade."
"How is the grade ""5"" handled in the computation of the GWA?","If a student receives a grade of ""5"" and later re-enrolls and passes the course, both the ""5"" grade and the subsequent passing grade are included in the computation of the GWA. The GWA is used as a basis for determining graduation with or without honors."
"Can a grade of ""4.00"" be removed or improved?","Yes, a grade of ""4.00"" can be removed by repeating the subject or through a re-examination. The student must obtain a grade no higher than ""3.00"" upon re-examination. If the removal examination is failed, the grade is automatically changed to ""5.00""."
"Is there a time limit for removing a grade of ""4.00""?","Yes, a student is allowed only one removal examination, which must be taken within one academic year from the date the grade of ""4.00"" was received. If the condition is not removed within the prescribed period, it will be automatically changed to ""5.00"". However, if the subject for grade removal is a prerequisite for the succeeding semester, it must be completed before the next enrollment, superseding the one-year time frame."
What happens if an incomplete grade (INC) is not completed within the prescribed period?,"If an incomplete grade is not completed within the prescribed period (one year), it will automatically be changed to a grade of ""5.0"". The Registrar will make the grade change after confirming it with the concerned professor or the Dean/Associate Dean of the College."
Is there a fee for removal of grades?,Is there a fee for removal of grades?
What are the types of INC or Incomplete marks?,"There are two types of INC or Incomplete marks:
5.1.1. No Final Examination: A grade of INC is given to a student who has a passing class standing throughout the term/semester but fails to take the final examination due to illness or valid reasons. An approved excuse slip is required. If the student's class standing is not passing and they fail the final examination for any reason, a grade of ""5.0"" is given. Re-examination to improve a passing grade is not allowed.
5.1.2. Failure to Comply with Certain Requirements: INC is also given when the overall work is of passing quality, but some parts of it are undone due to sickness or failure to comply with certain requirements of the course."
Can a student with a failing grade receive an INC?,"No, a grade of INC is not given to any student with a failing grade in a subject."
"No, a grade of INC is not given to any student with a failing grade in a subject.","Yes, there are policies and procedures for the removal of an INC grade:
- An examination for the removal of a grade of ""4.0"" may be taken without a fee during the final examination period if the subject is included in the schedule of examinations. A fee of P20 per unit is charged during the regular removal period, which is one week preceding the first day of registration each semester/term.
- Special removal examinations may be given upon approval of a written petition from the College Dean. A fee of P100 per unit is charged for this removal.
- Students not in residence (not registered during the semester) with an approved Leave of Absence (LOA) or Honorable Dismissal who wish to take the removal examination or complete their requirements must seek approval from the College Dean through a written petition. A removal/completion fee of P20 per unit is required, regardless of whether the removal/completion is given during the regular scheduled periods or through special arrangements."
How are credits and grading handled for transferees?,"When it comes to credits and grading for transferees, the following policy applies:
-Consensus taken in other schools by transferees may be credited.
-The number of credits to be credited should not exceed 20% of the total number of units."
What is the attendance policy for students?,"The attendance policy states that a student who is absent from classes for an unavoidable cause must obtain an excuse slip from the Office of the Students Affairs Services or Guidance Office. The slip must be presented to the instructor/professor no later than the second class session upon the student's return. In the case of illness, a medical certification for the absence is required."
What happens if a student accumulates unexcused absences?,"If a student accumulates unexcused absences from a class, equivalent to twenty percent (25%) of the total number of hours per day session for that particular subject, they will be dropped from the roll of students for that subject or class."
What are the guidelines for university withdrawal?,"The withdrawal policy allows students in good standing to withdraw from the university either temporarily (Leave of Absence) or permanently (Honorable Dismissal). To withdraw, the student must submit a written petition to the Dean and obtain the necessary clearance, which should be submitted to the Office of the Registrar."
What are the conditions for withdrawal from the university?,"The conditions for withdrawal are as follows:
If a student withdraws after the start of the midterm, the instructor may give a grade of ""5.0"" if the student's class standing up to the time of withdrawal is below ""3.0"".
Students who withdraw from the university without approval will have their registration privileges curtailed or entirely withdrawn."
What types of scholarships are available for academic scholars?,There are government and private company scholarships available for needy and deserving students. Only one government/public office scholarship is allowed for each qualified scholar.
Are there scholarships available for non-academic scholars?,"Yes, there are scholarships available for non-academic scholars as well. These include:
-Varsity Scholars: Athletes who have shown dedication and deserve incentives. There are full scholarships/training allowances for SCUAA (State Colleges and Universities Athletic Association) medalists, and half scholarships/training allowances for point contributors in SCUAA, SCUAA finalists, and those with specific grade requirements.
-Advanced ROTC: Scholarships for students involved in the Reserve Officers' Training Corps (ROTC) program.
-Cultural and the Performing Arts: Scholarships for students involved in cultural and performing arts activities.
-Band Member: Scholarships for students who are members of the university band.
-Student Government (President): Scholarships for students who hold the position of Student Government President.
-Publication (Editor-in-Chief): Scholarships for students who serve as Editor-in-Chief of the university publication."
What is the Maximum Residence Rule?,"According to the Maximum Residence Rule, a student must complete the requirements of their course within a period of 1.5 times the normal length prescribed for the course. If a student fails to meet this requirement, they will not be allowed to register in the university."
What is Honorable Dismissal?,"Honorable Dismissal is a voluntary withdrawal from the college/university with the consent of the Registrar. To obtain Honorable Dismissal, a student of good standing must submit a written petition to the Registrar, signed by their parent(s) or guardian(s). The student must settle all their debts to the university before an Honorable Dismissal statement is issued. The statement indicates that the student is of good standing as far as character and conduct are concerned. However, if the student has been dropped from the roll due to poor scholarship, this information may be added to the Honorable Dismissal statement. Once granted an Honorable Dismissal, a student may not be readmitted to the university."
Are there any conditions for receiving Honorable Dismissal?,"Yes, a student who leaves the university due to suspension, dropping, or expulsion resulting from disciplinary actions will not be entitled to Honorable Dismissal. If such a student requests a transcript of records or a certification of academic status, it will include a statement regarding the disciplinary action rendered."
What are the requirements for completing an undergraduate thesis?,"The requirements for completing an undergraduate thesis are as follows:
1. The thesis outline must be approved by a panel consisting of the Chairman of the Panel, Statistician, English Critic, Subject Specialist, College Dean, and Research Director. The approved outline should be filed at the Office of the 2. Registrar within the semester the student first registered for thesis work.
3. The report of the investigation is prepared under the supervision of the Thesis Adviser and presented for thesis defense to the same panel that approved the thesis outline.
4. After approval, a preliminary typewritten copy of the thesis manuscript is submitted to the adviser and other panel members. Five typewritten copies are then presented to the Registrar's Office at least two weeks before the faculty acts on the candidacy for graduation.
5. The approval sheet must be signed by the adviser, panel members, dean/associate dean, and registrar. The research contribution number should also appear."
